ID,City,Age,Religion,Ethnic,Educational Level,Occupation,Social Class,Montly Expenditure for Food (%),Religious Value in Type of Food,Religious Value in Eating Places,Religious Value in Consumption Pattern,Practice of Food Consumption Based on Religious Rules,Practice of Food Consumption Based on Custom Rules,Buying Food Product in the Right Place Based on Religious Rules,Practice of Consumption Traditional Food
64,Jakarta,27,Islam,Java,Bachelor degree,Enterpreneur,Lower Class,73,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
65,Jakarta,39,Islam,Java,Bachelor degree,Independent Worker,Lower Class,41,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
66,Jakarta,53,Islam,Bugis,Diploma,Independent Worker,Middle Class,33,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree
67,Jakarta,57,Islam,Java,Diploma,Independent Worker,Upper Class,19,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
68,Jakarta,46,Islam,Java,Diploma,Independent Worker,Lower Class,69,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
69,Jakarta,53,Islam,Java,Master and doctoral degree,Independent Worker,Upper Class,23,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
70,Jakarta,58,Islam,Java,Senior High School,Independent Worker,Upper Class,25,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
71,Jakarta,23,Islam,Madura,Master and doctoral degree,Private Employees,Lower Class,57,Disagree,Strongly Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree
72,Jakarta,46,Protestant,Other,Senior High School,Private Employees,Middle Class,43,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
73,Jakarta,34,Protestant,Other,Senior High School,Private Employees,Middle Class,38,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree
74,Jakarta,30,Protestant,Sunda,Bachelor degree,Private Employees,Lower Class,61,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
75,Jakarta,26,Islam,Java,Bachelor degree,Government Employees,Middle Class,58,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
76,Jakarta,43,Islam,Java,Bachelor degree,Government Employees,Middle Class,34,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
77,Jakarta,55,Protestant,Java,Bachelor degree,Enterpreneur,Upper Class,26,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
78,Jakarta,37,Islam,Madura,Master and doctoral degree,Enterpreneur,Lower Class,57,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
79,Jakarta,30,Islam,Java,Bachelor degree,Enterpreneur,Upper Class,24,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
80,Jakarta,35,Catholic,Java,Master and doctoral degree,Private Employees,Upper Class,27,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree
81,Jakarta,29,Islam,Java,Bachelor degree,Private Employees,Middle Class,67,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
82,Jakarta,41,Islam,Sunda,Bachelor degree,Private Employees,Middle Class,36,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree
83,Jakarta,31,Protestant,Sunda,Bachelor degree,Private Employees,Middle Class,42,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree
84,Jakarta,36,Islam,Minang,Bachelor degree,Private Employees,Lower Class,73,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
85,Jakarta,52,Protestant,Other,Senior High School,Private Employees,Lower Class,41,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
86,Jakarta,64,Protestant,Java,Primary School,Private Employees,Middle Class,33,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree
87,Jakarta,35,Islam,Java,Junior High School,Teacher?/Lecturer,Upper Class,19,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree
88,Jakarta,62,Islam,Java,Master and doctoral degree,Teacher?/Lecturer,Lower Class,69,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree
89,Jakarta,36,Protestant,Java,Bachelor degree,Government Employees,Lower Class,23,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree
90,Jakarta,52,Islam,Java,Junior High School,Government Employees,Middle Class,25,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
91,Jakarta,55,Islam,Sunda,Bachelor degree,Government Employees,Middle Class,58,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
92,Jakarta,34,Islam,Java,Bachelor degree,Government Employees,Upper Class,44,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Disagree,Strongly Agree
93,Jakarta,30,Islam,Java,Senior High School,Government Employees,Lower Class,35,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
94,Jakarta,61,Islam,Other,Primary School,Police Officer?/Army,Lower Class,59,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
95,Jakarta,23,Islam,Minang,Senior High School,Police Officer?/Army,Middle Class,65,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
96,Jakarta,39,Islam,Minang,Senior High School,Private Employees,Middle Class,41,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
97,Jakarta,31,Islam,Sunda,Diploma,Private Employees,Upper Class,26,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
98,Jakarta,28,Islam,Sunda,Diploma,Government Employees,Upper Class,76,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
99,Jakarta,45,Catholic,Other,Bachelor degree,Police Officer?/Army,Upper Class,22,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
100,Jakarta,64,Islam,Other,Master and doctoral degree,Private Employees,Middle Class,18,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
101,Jakarta,31,Islam,Java,Bachelor degree,Private Employees,Lower Class,57,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Neither agree nor disagree,Disagree
102,Jakarta,29,Islam,Java,Bachelor degree,Private Employees,Middle Class,43,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
103,Jakarta,46,Islam,Java,Master and doctoral degree,Enterpreneur,Middle Class,38,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
104,Jakarta,64,Islam,Other,Bachelor degree,Enterpreneur,Lower Class,61,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
105,Jakarta,54,Protestant,Java,Bachelor degree,Enterpreneur,Lower Class,58,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree
106,Jakarta,47,Islam,Minang,Bachelor degree,Enterpreneur,Middle Class,34,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree
107,Jakarta,28,Islam,Java,Bachelor degree,Government Employees,Upper Class,26,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
108,Jakarta,48,Islam,Java,Senior High School,Government Employees,Lower Class,57,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
109,Jakarta,25,Islam,Java,Diploma,Government Employees,Upper Class,24,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
110,Jakarta,39,Catholic,Batak,Diploma,Government Employees,Upper Class,27,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
111,Jakarta,53,Protestant,Java,Diploma,Government Employees,Lower Class,67,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
112,Jakarta,57,Protestant,Java,Diploma,Private Employees,Middle Class,36,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
113,Jakarta,46,Islam,Java,Diploma,Private Employees,Middle Class,42,Disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree
114,Jakarta,53,Islam,Java,Bachelor degree,Private Employees,Lower Class,73,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
115,Jakarta,58,Islam,Java,Diploma,Private Employees,Middle Class,41,Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
116,Jakarta,62,Islam,Java,Master and doctoral degree,Enterpreneur,Middle Class,33,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree
117,Jakarta,33,Protestant,Java,Bachelor degree,Enterpreneur,Upper Class,19,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree
118,Jakarta,37,Protestant,Java,Diploma,Enterpreneur,Lower Class,69,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
119,Jakarta,32,Protestant,Java,Diploma,Enterpreneur,Upper Class,23,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
120,Jakarta,35,Protestant,Java,Senior High School,Enterpreneur,Upper Class,25,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
121,Jakarta,31,Catholic,Other,Diploma,Enterpreneur,Lower Class,57,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
122,Jakarta,27,Islam,Minang,Senior High School,Government Employees,Middle Class,43,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Neither agree nor disagree,Disagree
123,Jakarta,49,Islam,Minang,Senior High School,Government Employees,Middle Class,38,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
124,Jakarta,55,Islam,Sunda,Diploma,Government Employees,Lower Class,61,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
125,Jakarta,54,Islam,Java,Diploma,Government Employees,Lower Class,58,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
126,Jakarta,47,Islam,Java,Bachelor degree,Government Employees,Middle Class,34,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
127,Jakarta,28,Islam,Java,Diploma,Government Employees,Upper Class,26,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
128,Jakarta,48,Catholic,Madura,Diploma,Government Employees,Lower Class,57,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
129,Jakarta,26,Catholic,Java,Bachelor degree,Enterpreneur,Upper Class,24,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree
130,Jakarta,39,Protestant,Java,Master and doctoral degree,Enterpreneur,Upper Class,27,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
131,Jakarta,53,Islam,Java,Bachelor degree,Enterpreneur,Lower Class,67,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
132,Jakarta,57,Islam,Sunda,Bachelor degree,Enterpreneur,Middle Class,36,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree
133,Jakarta,46,Islam,Sunda,Bachelor degree,Enterpreneur,Middle Class,42,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
134,Jakarta,53,Islam,Minang,Bachelor degree,Enterpreneur,Lower Class,73,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree
135,Jakarta,58,Islam,Minang,Senior High School,Independent Worker,Middle Class,41,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
136,Jakarta,62,Islam,Java,Diploma,Independent Worker,Middle Class,33,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
137,Jakarta,49,Protestant,Java,Master and doctoral degree,Independent Worker,Upper Class,19,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree
138,Jakarta,38,Protestant,Java,Bachelor degree,Independent Worker,Lower Class,69,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
139,Jakarta,25,Protestant,Java,Bachelor degree,Independent Worker,Upper Class,23,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
140,Jakarta,33,Islam,Java,Master and doctoral degree,Independent Worker,Upper Class,25,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree
141,Jakarta,62,Islam,Sunda,Bachelor degree,Private Employees,Lower Class,58,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
142,Jakarta,25,Islam,Java,Master and doctoral degree,Private Employees,Middle Class,44,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
143,Jakarta,61,Islam,Java,Master and doctoral degree,Private Employees,Middle Class,35,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
144,Jakarta,32,Islam,Minang,Bachelor degree,Private Employees,Lower Class,59,Agree,Agree,Agree,Agree,Agree,Agree,Agree
145,Jakarta,42,Islam,Minang,Bachelor degree,Government Employees,Lower Class,65,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree
